ID,DATA,PARCELA,TOTAL_PARCELAS,VALOR,FORNECEDOR_ID
188,2019-04-23,0,0,14.00,777
189,2019-04-27,0,0,4.50,3
190,2019-04-27,0,0,33.00,865
191,2019-04-29,0,0,50.00,302
192,2019-07-29,0,0,18.50,727
193,2019-05-01,0,0,20.90,836
194,2019-05-02,0,0,39.60,30
195,2019-05-04,0,0,59.00,105
196,2019-05-06,0,0,44.00,865
197,2019-05-11,0,0,14.00,777
198,2019-05-11,0,0,20.90,836
199,2019-05-13,0,0,40.00,865
200,2019-01-10,9,10,45.00,810
201,2019-07-15,2,4,38.49,863
202,2019-08-16,0,0,89.99,506
203,2019-09-06,0,0,100.00,791
204,2019-09-10,0,0,6.99,825
205,2019-08-18,0,0,6.80,151
206,2019-08-18,0,0,116.00,12
207,2019-08-23,0,0,57.20,105
208,2019-08-25,0,0,53.00,865
209,2019-08-28,0,0,16.00,777
210,2019-08-30,0,0,52.99,105
211,2019-08-30,0,0,9.00,849
212,2019-08-30,0,0,47.50,770
213,2019-09-01,0,0,30.29,4
214,2019-09-01,0,0,10.00,868
215,2019-09-01,0,0,17.80,149
216,2019-09-01,0,0,46.00,865
217,2019-09-02,0,0,50.00,758
218,2019-09-05,0,0,16.00,777
219,2019-09-06,0,0,10.00,868
220,2019-09-17,0,0,99.99,733
221,2019-09-16,0,0,5.00,878
222,2019-01-10,10,10,45.00,810
223,2019-07-16,3,4,38.47,863
224,2019-09-12,1,6,124.20,819
225,2019-09-16,0,0,89.99,506
226,2019-09-17,1,3,78.34,799
227,2019-10-06,0,0,100.00,791
228,2019-10-10,10,10,6.99,825
229,2019-07-15,4,4,38.47,758
230,2019-09-11,2,6,124.16,819
231,2019-09-16,2,3,78.33,799
232,2019-10-15,0,0,89.99,506
233,2019-10-25,0,0,100.00,791
234,2019-11-10,0,0,6.99,825
235,2019-09-11,3,6,124.16,819
236,2019-09-16,3,3,78.33,799
237,2019-11-15,0,0,89.99,506
238,2019-11-29,0,0,100.00,791
239,2019-12-09,0,0,6.99,825
240,2019-11-17,0,0,33.31,882
241,2019-11-24,0,0,15.00,868
242,2019-11-25,0,0,10.50,910
243,2019-12-01,0,0,10.00,868
244,2019-12-03,0,0,4.50,910
245,2019-12-05,0,0,50.00,906
246,2019-12-06,0,0,15.80,31
247,2019-12-08,0,0,25.00,868
248,2019-12-09,0,0,4.60,910
249,2019-12-10,0,0,4.40,910
250,2019-12-11,0,0,4.30,910
251,2019-12-12,0,0,4.30,910
252,2019-12-12,0,0,10.00,868
253,2019-12-13,0,0,4.30,910
254,2019-12-13,0,0,60.00,129
255,2019-12-15,0,0,10.00,868
256,2019-12-15,0,0,178.00,909
257,2019-12-16,0,0,4.30,910
258,2019-12-18,0,0,33.31,882
259,2019-12-18,0,0,4.30,910
260,2019-12-19,0,0,4.30,910
261,2019-12-19,0,0,6.40,910
262,2019-12-19,0,0,5.00,910
263,2019-12-20,0,0,4.30,910
264,2019-12-20,0,0,13.10,910
265,2019-12-21,0,0,4.30,910
266,2019-12-23,0,0,30.00,868
267,2019-12-24,0,0,4.30,910
268,2019-12-26,0,0,10.00,868
269,2019-12-28,0,0,4.30,910
270,2019-12-28,0,0,4.30,910
271,2019-12-31,0,0,4.30,910
272,2020-01-03,0,0,4.30,910
273,2020-01-04,0,0,4.30,910
274,2020-01-07,0,0,4.30,910
275,2020-01-08,0,0,4.30,910
276,2020-01-09,0,0,4.30,910
277,2020-01-09,0,0,19.99,43
278,2020-01-10,0,0,5.10,910
279,2020-01-10,0,0,4.30,910
280,2020-01-11,0,0,4.30,910
281,2020-01-14,0,0,10.00,868
282,2020-01-14,0,0,4.30,910
283,2020-01-15,0,0,4.30,910
284,2020-01-16,0,0,4.30,910
285,2020-01-17,0,0,4.30,910
286,2020-01-17,0,0,10.00,43
287,2019-09-12,4,6,124.16,819
288,2019-12-16,0,0,89.99,506
289,2019-12-17,1,6,169.55,926
290,2019-12-20,0,0,100.00,791
291,2020-01-04,0,0,84.00,43
292,2020-01-04,0,0,100.00,791
293,2020-01-06,0,0,339.90,43
294,2020-01-10,0,0,6.99,825
